,路線名,駅名,設置年月
160,東急電鉄東急目黒線,大岡山,2000/08/01 00:00
161,東急電鉄東急目黒線,多摩川,2000/08/01 00:00
162,東京都交通局三田線,目黒,2000/08/01 00:00
163,東急電鉄東急目黒線,新丸子,2000/08/01 00:00
164,東京地下鉄南北線,白金台,2000/09/01 00:00
165,東京地下鉄南北線,六本木一丁目,2000/09/01 00:00
166,東京地下鉄南北線,白金高輪,2000/09/01 00:00
167,東京地下鉄南北線,麻布十番,2000/09/01 00:00
168,東京都交通局三田線,白金台,2000/09/01 00:00
169,東京都交通局三田線,白金高輪,2000/09/01 00:00
170,埼玉高速鉄道埼玉高速鉄道線,鳩ヶ谷,2001/03/01 00:00
171,埼玉高速鉄道埼玉高速鉄道線,南鳩ヶ谷,2001/03/01 00:00
172,埼玉高速鉄道埼玉高速鉄道線,新井宿,2001/03/01 00:00
173,埼玉高速鉄道埼玉高速鉄道線,戸塚安行,2001/03/01 00:00
174,埼玉高速鉄道埼玉高速鉄道線,浦和美園,2001/03/01 00:00
175,埼玉高速鉄道埼玉高速鉄道線,東川口,2001/03/01 00:00
176,埼玉高速鉄道埼玉高速鉄道線,川口元郷,2001/03/01 00:00
177,東急電鉄東急目黒線,武蔵小山,2001/06/01 00:00
178,舞浜リゾートラインディズニーリゾートライン,リゾートゲートウェイ・ステーション,2001/07/01 00:00
179,東急電鉄東急目黒線,西小山,2001/07/01 00:00
180,舞浜リゾートラインディズニーリゾートライン,東京ディズニーシー・ステーション,2001/07/01 00:00
181,舞浜リゾートラインディズニーリゾートライン,東京ディズニーランド・ステーション,2001/07/01 00:00
182,舞浜リゾートラインディズニーリゾートライン,ベイサイド・ステーション,2001/07/01 00:00
183,東京地下鉄千代田線,北綾瀬,2002/02/01 00:00
184,東急電鉄東急目黒線,不動前,2002/09/01 00:00
185,東京モノレール東京モノレール羽田線,天空橋,2002/09/01 00:00
186,東京モノレール東京モノレール羽田線,整備場,2002/09/01 00:00
187,東京モノレール東京モノレール羽田線,昭和島,2002/09/01 00:00
188,東京モノレール東京モノレール羽田線,羽田空港第１ターミナル,2002/09/01 00:00
189,東京モノレール東京モノレール羽田線,流通センター,2002/09/01 00:00
190,東京モノレール東京モノレール羽田線,大井競馬場前,2002/09/01 00:00
191,東京モノレール東京モノレール羽田線,天王洲アイル,2002/09/01 00:00
192,東京モノレール東京モノレール羽田線,モノレール浜松町,2002/09/01 00:00
193,東京モノレール東京モノレール羽田線,新整備場,2002/09/01 00:00
194,ゆりかもめ東京臨海新交通臨海線,汐留,2002/11/01 00:00
195,東日本旅客鉄道東北新幹線,八戸,2002/12/01 00:00
196,東日本旅客鉄道東北新幹線,二戸,2002/12/01 00:00
197,東日本旅客鉄道東北新幹線,いわて沼宮内,2002/12/01 00:00
198,名古屋鉄道名鉄小牧線,上飯田,2003/03/01 00:00
199,名古屋市交通局上飯田線,平安通,2003/03/01 00:00
200,名古屋市交通局上飯田線,上飯田,2003/03/01 00:00
201,沖縄都市モノレール沖縄都市モノレール線,首里,2003/08/01 00:00
