駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,,当該路線の設置状況
7,JR東海,東海道新幹線,新大阪,大阪府大阪市淀川区,単式2面2線・島式3面6線,26・27番線,可動式ホーム柵,2013/03/01 00:00,○,20～25番線は未設置（固定柵設置）,
1,JR西日本,北陸新幹線,糸魚川,新潟県糸魚川市,相対式2面2線,11・12番線,可動式ホーム柵,2015/03/01 00:00,,在来線ホームは未設置,◎全駅
2,JR西日本,北陸新幹線,黒部宇奈月温泉,富山県黒部市,相対式2面2線,1・2番線,可動式ホーム柵,2015/03/01 00:00,,,
3,JR西日本,北陸新幹線,富山,富山県富山市,島式2面4線,11・12・13・14番線,可動式ホーム柵,2015/03/01 00:00,,在来線ホームは未設置,
4,JR西日本,北陸新幹線,新高岡,富山県高岡市,相対式2面2線,1・2番線,可動式ホーム柵,2015/03/01 00:00,,在来線ホームは未設置,
5,JR西日本,北陸新幹線,金沢,石川県金沢市,島式2面4線,11・12・13・14番線,可動式ホーム柵,2015/03/01 00:00,,在来線ホームは未設置,
6,JR西日本,山陽新幹線,新神戸,兵庫県神戸市中央区,相対式2面2線,1・2番線,可動式ホーム柵,1977/12/01 00:00,,,△一部の駅
7,JR西日本,山陽新幹線,岡山,岡山県岡山市,島式2面4線,22番線,可動式ホーム柵,2019/12/01 00:00,○,21・23・24番線は未設置、在来線ホームは未設置,
8,JR西日本,ＪＲ東西線,北新地,大阪府大阪市,島式1面2線,1・2番線,可動式ホーム柵,2011/03/01 00:00,○,,△一部の駅
9,JR西日本,ＪＲ東西線,大阪天満宮,大阪府大阪市,島式1面2線,1・2番線,可動式ホーム柵,2012/03/01 00:00,,,
10,JR西日本,ＪＲ東西線,京橋,大阪府大阪市,相対式4面4線,1･2・3・4番線,可動式ホーム柵,2016/03/01 00:00,○,3番線はR1.10設置、4番線はR2.3設置,
11,JR西日本,東海道本線,六甲道,兵庫県神戸市,島式2面4線,3番線,昇降式ホーム柵,2015/04/01 00:00,,1･2･4番線は未設置,△一部の駅
12,JR西日本,東海道本線,高槻,大阪府高槻市,島式2面4線、相対式2面2線,1・2･5･6番線,昇降式ホーム柵,2016/03/01 00:00,○,2･5番線はH31.3可動式を設置3･4番線は未設置,
13,JR西日本,東海道本線,大阪,大阪府大阪市,島式5面10線、相対式1面1線,1・2・5･6・7･8番線,可動式ホーム柵,2017/05/01 00:00,○,5･8番線はH31.3昇降式を設置1番線はR1.12可動式を設置2番線はR2.3可動式を設置3･4･9・10･11番線は未設置,
14,JR西日本,東海道本線,ＪＲ総持寺,大阪府茨木市,島式2面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,,,
15,JR西日本,東海道本線,三ノ宮,兵庫県神戸市,島式2面4線,2・3番線,昇降式ホーム柵,2019/11/01 00:00,○,1・4番線は未設置,
16,JR西日本,山陽本線,明石,兵庫県明石市,島式2面4線,3・4番線,昇降式ホーム柵,2020/03/01 00:00,○,1・2番線は未設置,△一部の駅
17,JR西日本,山陰本線,梅小路京都西,京都府京都市,相対式2面2線,1・2番線,可動式ホーム柵,2019/03/01 00:00,,,
1,JR九州,九州新幹線,新鳥栖,佐賀県鳥栖市,島式2面4線,11・12・13・14番線,可動式ホーム柵,2011/03/01 00:00,,在来線ホーム（1・2番線）は未設置,△一部の駅
