駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,,当該路線の設置状況
33,JR東日本,山手線,五反田,東京都品川区,島式1面2線,1･2番線,可動式ホーム柵,H27.3,○,,
34,JR東日本,山手線,秋葉原,東京都千代田区,島式2面4線,2･3番線,可動式ホーム柵,H27.6,○,ＪＲ東日本中央・総武線ホーム（5･6番線）は未設置,
35,JR東日本,山手線,代々木,東京都渋谷区,相対式1面1線、島式1面2線,1･2番線,可動式ホーム柵,H27.10,○,ＪＲ東日本中央・総武線ホーム（3・4番線）は未設置,
36,JR東日本,山手線,上野,東京都台東区,島式2面4線,2･3番線,可動式ホーム柵,H27.12,○,山手線・京浜東北線ホーム（1･2･3･4番線）以外は未設置,
37,JR東日本,山手線,神田,東京都千代田区,島式2面4線,2･3番線,可動式ホーム柵,H28.2,○,ＪＲ東日本京浜東北線・中央線ホーム（1・4・5・6番線）は未設置,
38,JR東日本,山手線,日暮里,東京都荒川区,島式2面4線,10･11番線,可動式ホーム柵,H28.3,○,ＪＲ東日本京浜東北線・常磐線ホーム（3・4・9・12番線）は未設置,
39,JR東日本,山手線,品川,東京都港区,島式1面2線,1･2番線,可動式ホーム柵,H28.8,○,山手線・京浜東北線ホーム（1･2･5番線）以外は未設置,
40,JR東日本,山手線,高輪ゲートウェイ,東京都港区,島式1面2線,1･2番線,可動式ホーム柵,R2.3,,,
41,JR東日本,山手線,新橋,東京都港区,島式2面4線,4･5番線,可動式ホーム柵,R1.10,○,,
42,JR東日本,山手線,浜松町,東京都港区,島式2面4線,2･3番線,可動式ホーム柵,R2.3,○,,
43,JR東日本,京浜東北線,赤羽,東京都北区,島式1面2線,1・2番線,可動式ホーム柵,H29.3,○,京浜東北線ホーム以外は未設置,△一部の駅
44,JR東日本,京浜東北線,さいたま新都心,埼玉県さいたま市,島式1面2線,1・2番線,可動式ホーム柵,H29.9,○,京浜東北線ホーム以外は未設置,
45,JR東日本,京浜東北線,浦和,埼玉県さいたま市,島式1面2線,1・2番線,可動式ホーム柵,H29.10,○,京浜東北線ホーム以外は未設置,
,JR東日本,京浜東北線,上野,東京都台東区,島式2面4線,1・4番線,可動式ホーム柵,H29.12,○,（参照）【ＪＲ東日本山手線】,
46,JR東日本,京浜東北線,大井町,東京都品川区,島式1面2線,1・2番線,可動式ホーム柵,H30.2,○,,
47,JR東日本,京浜東北線,鶴見,神奈川県横浜市,島式1面2線,1・2番線,可動式ホーム柵,H30.3,○,京浜東北線ホーム以外は未設置,
48,JR東日本,京浜東北線,桜木町,神奈川県横浜市,島式2面3線,1・4番線,可動式ホーム柵,H30.8,○,1・4番線ホーム以外は未設置,
,JR東日本,京浜東北線,有楽町,東京都千代田区,島式2面4線,1・4番線,可動式ホーム柵,H30.9,○,（参照）【ＪＲ東日本山手線】,
,JR東日本,京浜東北線,御徒町,東京都台東区,島式2面4線,1・4番線,可動式ホーム柵,H30.12,○,（参照）【ＪＲ東日本山手線】,
49,JR東日本,京浜東北線,東神奈川,神奈川県横浜市,島式2面4線,1・4番線,可動式ホーム柵,H30.12,,1・4番線ホーム以外は未設置,
,JR東日本,京浜東北線,品川,東京都港区,島式1面1線､島式1面2線,5番線,可動式ホーム柵,H30.12,○,（参照）【ＪＲ東日本山手線】,
50,JR東日本,京浜東北線,王子,東京都北区,1面2線,1・2番線,可動式ホーム柵,H31.2,○,,
,JR東日本,京浜東北線,秋葉原,東京都千代田区,2面4線,1・4番線,可動式ホーム柵,H31.2,○,（参照）【ＪＲ東日本山手線】,
51,JR東日本,京浜東北線,南浦和,埼玉県さいたま市,2面4線,1番線,可動式ホーム柵,H31.2,○,京浜東北線南行ホーム（1番線）以外は未設置,
,JR東日本,京浜東北線,西日暮里,東京都荒川区,島式2面4線,1・4番線,可動式ホーム柵,H31.4,○,（参照）【ＪＲ東日本山手線】,
52,JR東日本,京浜東北線,川口,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,R1.6,○,,
,JR東日本,京浜東北線,高輪ゲートウェイ,東京都港区,島式1面2線,3・4番線,可動式ホーム柵,R2.3,,（参照）【ＪＲ東日本山手線】,
53,JR東日本,京浜東北線,西川口,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,R1.7,○,,
54,JR東日本,京浜東北線,大森,東京都大田区,島式1面2線,1・2番線,可動式ホーム柵,R1.9,○,,
,JR東日本,京浜東北線,神田,東京都千代田区,島式2面4線,1・4番線,可動式ホーム柵,R1.10,○,（参照）【ＪＲ東日本山手線】,
55,JR東日本,京浜東北線,横浜,神奈川県横浜市西区,島式1面2線,3・4番線,可動式ホーム柵,R1.11,○,,
56,JR東日本,京浜東北線,蒲田,東京都大田区,島式2面3線,1・4番線,可動式ホーム柵,R1.11,○,,
57,JR東日本,京浜東北線,北浦和,埼玉県さいたま市,島式1面2線,1・2番線,可動式ホーム柵,R1.12,○,,
,JR東日本,京浜東北線,新橋,東京都港区,島式2面4線,3・6番線,可動式ホーム柵,R1.12,○,（参照）【ＪＲ東日本山手線】,
58,JR東日本,京浜東北線,蕨,埼玉県蕨市,島式1面2線,1・2番線,可動式ホーム柵,R2.2,○,,
59,JR東日本,総武快速線,新小岩,東京都葛飾区,1面2線,3・4番線,可動式ホーム柵,H30.12,○,総武快速線ホーム（3・4番線）以外は未設置,△一部の駅
60,JR東日本,横浜線,町田,東京都町田市,島式2面4線,4番線,可動式ホーム柵,H29.7,○,,△一部の駅
