,駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,Unnamed: 10,当該路線の設置状況,path
34,32.0,JR東日本,山手線,田端,東京都北区,島式2面4線,2･3番線,可動式ホーム柵,2015/02/01 00:00,,ＪＲ東日本京浜東北線ホーム（1・4番線）は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
35,33.0,JR東日本,山手線,五反田,東京都品川区,島式1面2線,1･2番線,可動式ホーム柵,2015/03/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
36,34.0,JR東日本,山手線,秋葉原,東京都千代田区,島式2面4線,2･3番線,可動式ホーム柵,2015/06/01 00:00,○,ＪＲ東日本中央・総武線ホーム（5･6番線）は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
37,35.0,JR東日本,山手線,代々木,東京都渋谷区,相対式1面1線、島式1面2線,1･2番線,可動式ホーム柵,2015/10/01 00:00,○,ＪＲ東日本中央・総武線ホーム（3・4番線）は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
38,36.0,JR東日本,山手線,上野,東京都台東区,島式2面4線,2･3番線,可動式ホーム柵,2015/12/01 00:00,○,山手線・京浜東北線ホーム（1･2･3･4番線）以外は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
39,37.0,JR東日本,山手線,神田,東京都千代田区,島式2面4線,2･3番線,可動式ホーム柵,2016/02/01 00:00,○,ＪＲ東日本京浜東北線・中央線ホーム（1・4・5・6番線）は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
40,38.0,JR東日本,山手線,日暮里,東京都荒川区,島式2面4線,10･11番線,可動式ホーム柵,2016/03/01 00:00,○,ＪＲ東日本京浜東北線・常磐線ホーム（3・4・9・12番線）は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
41,39.0,JR東日本,山手線,品川,東京都港区,島式1面2線,1･2番線,可動式ホーム柵,2016/08/01 00:00,○,山手線・京浜東北線ホーム（1･2･5番線）以外は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
42,40.0,JR東日本,山手線,高輪ゲートウェイ,東京都港区,島式1面2線,1･2番線,可動式ホーム柵,2020/03/01 00:00,,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
43,41.0,JR東日本,山手線,新橋,東京都港区,島式2面4線,4･5番線,可動式ホーム柵,2019/10/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
