,駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,Unnamed: 10,当該路線の設置状況,path
445,,東京メトロ,有楽町線,千川,東京都豊島区,島式1面2線,1・2番線,可動式ホーム柵,2014/02/01 00:00,,（参照）【東京メトロ副都心線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
446,,東京メトロ,有楽町線,要町,東京都豊島区,島式1面2線,1・2番線,可動式ホーム柵,2011/01/01 00:00,,（参照）【東京メトロ副都心線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
447,,東京メトロ,有楽町線,池袋,東京都豊島区,島式1面2線,3・4番線,可動式ホーム柵,2011/01/01 00:00,○,（参照）【東京メトロ丸ノ内線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
448,71.0,東京メトロ,有楽町線,東池袋,東京都豊島区,島式1面2線,1・2番線,可動式ホーム柵,2011/02/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
449,72.0,東京メトロ,有楽町線,護国寺,東京都文京区,島式1面2線,1・2番線,可動式ホーム柵,2011/03/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
450,73.0,東京メトロ,有楽町線,江戸川橋,東京都文京区,島式1面2線,1・2番線,可動式ホーム柵,2011/08/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
451,,東京メトロ,有楽町線,飯田橋,東京都千代田区、新宿区,島式1面2線,3・4番線,可動式ホーム柵,2011/09/01 00:00,○,（参照）【東京メトロ南北線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
452,,東京メトロ,有楽町線,市ケ谷,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,2011/10/01 00:00,○,（参照）【東京メトロ南北線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
453,74.0,東京メトロ,有楽町線,麴町,東京都千代田区,単式二層2面2線,1・2番線,可動式ホーム柵,2011/11/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
454,,東京メトロ,有楽町線,永田町,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2012/02/01 00:00,,（参照）【東京メトロ南北線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
455,75.0,東京メトロ,有楽町線,桜田門,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2012/02/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
456,76.0,東京メトロ,有楽町線,有楽町,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2012/03/01 00:00,○,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
457,77.0,東京メトロ,有楽町線,銀座一丁目,東京都中央区,単式二層2面2線,1・2番線,可動式ホーム柵,2012/04/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
458,78.0,東京メトロ,有楽町線,新富町,東京都中央区,相対式2面2線,1・2番線,可動式ホーム柵,2013/06/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
459,79.0,東京メトロ,有楽町線,月島,東京都中央区,島式1面2線,1・2番線,可動式ホーム柵,2013/06/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
460,80.0,東京メトロ,有楽町線,豊洲,東京都江東区,島式2面4線,1・2・3・4番線,可動式ホーム柵,2013/10/01 00:00,○,1・4番線はH25.10、2・3番線はH25.12に設置,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
461,81.0,東京メトロ,有楽町線,辰巳,東京都江東区,島式1面2線,1・2番線,可動式ホーム柵,2013/11/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
462,82.0,東京メトロ,有楽町線,新木場,東京都江東区,島式1面2線,1・2番線,可動式ホーム柵,2013/06/01 00:00,○,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄有楽町線_addRailname.geojson
463,83.0,東京メトロ,銀座線,浅草,東京都台東区,相対式2面2線,1・2番線,可動式ホーム柵,2017/06/01 00:00,○,,△一部の駅,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
464,84.0,東京メトロ,銀座線,田原町,東京都台東区,相対式2面2線,1・2番線,可動式ホーム柵,2017/07/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
465,85.0,東京メトロ,銀座線,稲荷町,東京都台東区,相対式2面2線,1・2番線,可動式ホーム柵,2017/07/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
466,86.0,東京メトロ,銀座線,上野,東京都台東区,相対式2面2線,1・2番線,可動式ホーム柵,2016/03/01 00:00,○,2番線はH29.8に設置、東京メトロ日比谷線ホーム（1・2番線）は未設置,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
467,87.0,東京メトロ,銀座線,上野広小路,東京都台東区,相対式2面2線,1・2番線,可動式ホーム柵,2017/09/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
468,88.0,東京メトロ,銀座線,末広町,東京都千代田区,相対式2面2線,1・2番線,可動式ホーム柵,2017/10/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
469,89.0,東京メトロ,銀座線,神田,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2017/11/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
470,90.0,東京メトロ,銀座線,三越前,東京都中央区,島式1面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,○,東京メトロ半蔵門線ホーム（3・4番線）は未設置,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
471,91.0,東京メトロ,銀座線,日本橋,東京都中央区,相対式2面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,○,東京メトロ東西線ホーム（3・4番線）はR1.9に設置,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
472,92.0,東京メトロ,銀座線,京橋,東京都中央区,島式1面2線,1・2番線,可動式ホーム柵,2018/08/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
473,,東京メトロ,銀座線,銀座,東京都中央区,島式1面2線,1・2番線,可動式ホーム柵,2018/04/01 00:00,○,（参照）【東京メトロ丸ノ内線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
474,93.0,東京メトロ,銀座線,新橋,東京都港区,相対式2面2線,1・2番線,可動式ホーム柵,2018/09/01 00:00,○,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
475,94.0,東京メトロ,銀座線,虎ノ門,東京都港区,相対式2面2線,1・2番線,可動式ホーム柵,2018/05/01 00:00,○,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
476,,東京メトロ,銀座線,溜池山王,東京都港区,島式1面2線,1・2番線,可動式ホーム柵,2018/07/01 00:00,○,（参照）【東京メトロ南北線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
477,,東京メトロ,銀座線,赤坂見附,東京都港区,島式二層2面4線,1・3番線,可動式ホーム柵,2018/02/01 00:00,○,（参照）【東京メトロ丸ノ内線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
478,95.0,東京メトロ,銀座線,青山一丁目,東京都港区,相対式2面2線,1・2番線,可動式ホーム柵,2017/12/01 00:00,○,東京メトロ半蔵門線ホーム（3・4番線）はH30.8に設置,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
479,96.0,東京メトロ,銀座線,外苑前,東京都港区,相対式2面2線,1・2番線,可動式ホーム柵,2017/12/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
480,97.0,東京メトロ,銀座線,表参道,東京都港区,島式2面4線,4・5番線,可動式ホーム柵,2018/07/01 00:00,○,東京メトロ千代田線ホーム（1・2番線）はH30.12に設置、東京メトロ半蔵門線ホーム（3・6番線）はH30.10に設置,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄銀座線_addRailname.geojson
481,98.0,東京メトロ,東西線,高田馬場,東京都新宿区,相対式2面2線,1・2番線,可動式ホーム柵,2018/06/01 00:00,○,,△一部の駅,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄東西線_addRailname.geojson
482,99.0,東京メトロ,東西線,早稲田,東京都新宿区,相対式2面2線,1・2番線,可動式ホーム柵,2018/12/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄東西線_addRailname.geojson
483,100.0,東京メトロ,東西線,神楽坂,東京都新宿区,単式二層2面2線,1・2番線,可動式ホーム柵,2019/03/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄東西線_addRailname.geojson
484,,東京メトロ,東西線,飯田橋,東京都千代田区,相対式2面2線,1・2番線,可動式ホーム柵,2018/11/01 00:00,○,（参照）【東京メトロ南北線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄東西線_addRailname.geojson
485,101.0,東京メトロ,東西線,九段下,東京都千代田区,相対式2面2線,1・2番線,可動式ホーム柵,2018/02/01 00:00,○,東京メトロ半蔵門線ホーム（3･4番線）はH30.3に設置,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄東西線_addRailname.geojson
486,102.0,東京メトロ,東西線,竹橋,東京都千代田区,相対式2面2線,1・2番線,可動式ホーム柵,2019/04/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄東西線_addRailname.geojson
487,,東京メトロ,東西線,日本橋,東京都中央区,島式1面2線,3・4番線,可動式ホーム柵,2019/09/01 00:00,○,（参照）【東京メトロ銀座線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄東西線_addRailname.geojson
488,103.0,東京メトロ,東西線,門前仲町,東京都江東区,相対式2面2線,1・2番線,可動式ホーム柵,2020/03/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄東西線_addRailname.geojson
489,,東京メトロ,半蔵門線,渋谷,東京都渋谷区,島式1面2線,1・2番線,可動式ホーム柵,2019/03/01 00:00,○,（参照）【東急田園都市線】,△一部の駅,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄半蔵門線_addRailname.geojson
490,,東京メトロ,半蔵門線,表参道,東京都港区,島式2面4線,3・6番線,可動式ホーム柵,2018/10/01 00:00,○,（参照）【東京メトロ銀座線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄半蔵門線_addRailname.geojson
491,,東京メトロ,半蔵門線,青山一丁目,東京都港区,島式1面2線,3・4番線,可動式ホーム柵,2018/08/01 00:00,○,（参照）【東京メトロ銀座線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄半蔵門線_addRailname.geojson
492,,東京メトロ,半蔵門線,永田町,東京都千代田区,島式1面2線,3・4番線,可動式ホーム柵,2019/03/01 00:00,,（参照）【東京メトロ南北線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄半蔵門線_addRailname.geojson
493,104.0,東京メトロ,半蔵門線,半蔵門,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2019/02/01 00:00,,,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄半蔵門線_addRailname.geojson
494,,東京メトロ,半蔵門線,九段下,東京都千代田区,相対式2面2線,3・4番線,可動式ホーム柵,2018/03/01 00:00,○,（参照）【東京メトロ東西線】,,/home/zaiying/A-Pastani/data/東京メトロ/東京地下鉄半蔵門線_addRailname.geojson
495,1.0,東京都交通局,浅草線,泉岳寺,東京都港区,島式2面4線,1・2・3・4番線,可動式ホーム柵,2020/03/01 00:00,○,,△一部の駅,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局浅草線_addRailname.geojson
496,,東京都交通局,浅草線,三田,東京都港区,島式1面2線,1・2番線,可動式ホーム柵,2019/12/01 00:00,○,（参照）【都営三田線】,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局浅草線_addRailname.geojson
497,,東京都交通局,浅草線,大門,東京都港区,相対式2面2線,1・2番線,可動式ホーム柵,2019/11/01 00:00,○,（参照）【都営大江戸線】,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局浅草線_addRailname.geojson
498,2.0,東京都交通局,浅草線,新橋,東京都港区,相対式2面2線,1・2番線,可動式ホーム柵,2019/10/01 00:00,○,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局浅草線_addRailname.geojson
499,,東京都交通局,三田線,目黒,東京都品川区,島式1面2線,1･2番線,可動式ホーム柵,2000/08/01 00:00,○,（参照）【東急目黒線】,◎全駅,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
500,,東京都交通局,三田線,白金台,東京都港区,相対式2面2線,1･2番線,ホームドア,2000/09/01 00:00,,（参照）【東京メトロ南北線】,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
501,,東京都交通局,三田線,白金高輪,東京都港区,島式2面4線,1・2・3・4番線,ホームドア,2000/09/01 00:00,,（参照）【東京メトロ南北線】,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
502,3.0,東京都交通局,三田線,三田,東京都港区,単式二層2面2線,3・4番線,可動式ホーム柵,2000/08/01 00:00,○,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
503,4.0,東京都交通局,三田線,芝公園,東京都港区,相対式2面2線,1・2番線,可動式ホーム柵,2000/08/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
504,5.0,東京都交通局,三田線,御成門,東京都港区,島式1面2線,1・2番線,可動式ホーム柵,2000/08/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
505,6.0,東京都交通局,三田線,内幸町,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2000/08/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
506,7.0,東京都交通局,三田線,日比谷,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2000/08/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
507,8.0,東京都交通局,三田線,大手町,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2000/07/01 00:00,○,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
508,9.0,東京都交通局,三田線,神保町,東京都千代田区,島式1面2線,3・4番線,可動式ホーム柵,2000/07/01 00:00,○,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
509,10.0,東京都交通局,三田線,水道橋,東京都文京区,島式1面2線,1・2番線,可動式ホーム柵,2000/07/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
510,11.0,東京都交通局,三田線,春日,東京都文京区,相対式2面2線,1・2番線,可動式ホーム柵,2000/07/01 00:00,○,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
511,12.0,東京都交通局,三田線,白山,東京都文京区,相対式2面2線,1・2番線,可動式ホーム柵,2000/07/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
512,13.0,東京都交通局,三田線,千石,東京都文京区,島式1面2線,1・2番線,可動式ホーム柵,2000/06/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
513,14.0,東京都交通局,三田線,巣鴨,東京都豊島区,島式1面2線,1・2番線,可動式ホーム柵,2000/06/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
514,15.0,東京都交通局,三田線,西巣鴨,東京都豊島区,島式1面2線,1・2番線,可動式ホーム柵,2000/06/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
515,16.0,東京都交通局,三田線,新板橋,東京都板橋区,島式1面2線,1・2番線,可動式ホーム柵,2000/06/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
516,17.0,東京都交通局,三田線,板橋区役所前,東京都板橋区,相対式2面2線,1・2番線,可動式ホーム柵,2000/06/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
517,18.0,東京都交通局,三田線,板橋本町,東京都板橋区,相対式2面2線,1・2番線,可動式ホーム柵,2000/06/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
518,19.0,東京都交通局,三田線,本蓮沼,東京都板橋区,相対式2面2線,1・2番線,可動式ホーム柵,2000/05/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
519,20.0,東京都交通局,三田線,志村坂上,東京都板橋区,相対式2面2線,1・2番線,可動式ホーム柵,2000/05/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
520,21.0,東京都交通局,三田線,志村三丁目,東京都板橋区,相対式2面2線,1・2番線,可動式ホーム柵,2000/05/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
521,22.0,東京都交通局,三田線,蓮根,東京都板橋区,島式1面2線,1・2番線,可動式ホーム柵,2000/05/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
522,23.0,東京都交通局,三田線,西台,東京都板橋区,相対式2面2線,1・2番線,可動式ホーム柵,2000/05/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
523,24.0,東京都交通局,三田線,高島平,東京都板橋区,島式2面4線,1・2・3・4番線,可動式ホーム柵,2000/04/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
524,25.0,東京都交通局,三田線,新高島平,東京都板橋区,相対式2面2線,1・2番線,可動式ホーム柵,2000/04/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
525,26.0,東京都交通局,三田線,西高島平,東京都板橋区,相対式2面2線,1・2番線,可動式ホーム柵,2000/04/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局三田線_addRailname.geojson
526,27.0,東京都交通局,大江戸線,清澄白河,東京都江東区,島式2面3線,1・2・3・4番線,可動式ホーム柵,2011/04/01 00:00,,,◎全駅,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
527,28.0,東京都交通局,大江戸線,門前仲町,東京都江東区,島式1面2線,1・2番線,可動式ホーム柵,2011/07/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
528,29.0,東京都交通局,大江戸線,月島,東京都江東区,島式1面2線,1・2番線,可動式ホーム柵,2011/08/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
529,30.0,東京都交通局,大江戸線,勝どき,東京都中央区,相対式2面2線,1・2番線,可動式ホーム柵,2011/08/01 00:00,○,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
530,31.0,東京都交通局,大江戸線,築地市場,東京都中央区,島式1面2線,1・2番線,可動式ホーム柵,2011/09/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
531,32.0,東京都交通局,大江戸線,汐留,東京都中央区,島式1面2線,1・2番線,可動式ホーム柵,2011/10/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
532,33.0,東京都交通局,大江戸線,大門,東京都港区,島式1面2線,3・4番線,可動式ホーム柵,2011/10/01 00:00,○,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
533,34.0,東京都交通局,大江戸線,赤羽橋,東京都港区,島式1面2線,1・2番線,可動式ホーム柵,2011/11/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
534,35.0,東京都交通局,大江戸線,麻布十番,東京都港区,島式1面2線,1・2番線,可動式ホーム柵,2011/11/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
535,36.0,東京都交通局,大江戸線,六本木,東京都港区,単式二層2面2線,1・2番線,可動式ホーム柵,2011/12/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
536,37.0,東京都交通局,大江戸線,青山一丁目,東京都港区,島式1面2線,1・2番線,可動式ホーム柵,2011/12/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
537,38.0,東京都交通局,大江戸線,国立競技場,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,2012/01/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
538,39.0,東京都交通局,大江戸線,代々木,東京都渋谷区,島式1面2線,1・2番線,可動式ホーム柵,2012/02/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
539,,東京都交通局,大江戸線,新宿,東京都新宿区,島式1面2線,6・7番線,可動式ホーム柵,2012/02/01 00:00,○,（参照）【京王電鉄京王線】,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
540,40.0,東京都交通局,大江戸線,都庁前,東京都新宿区,島式2面4線,1・2・3・4番線,可動式ホーム柵,2012/03/01 00:00,,2・3番線はH24.11に設置,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
541,41.0,東京都交通局,大江戸線,森下,東京都江東区,島式1面2線,3・4番線,可動式ホーム柵,2012/03/01 00:00,○,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
542,42.0,東京都交通局,大江戸線,両国,東京都墨田区,島式1面2線,1・2番線,可動式ホーム柵,2012/04/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
543,43.0,東京都交通局,大江戸線,蔵前,東京都台東区,島式1面2線,1・2番線,可動式ホーム柵,2012/04/01 00:00,,都営浅草線（1・2番線）とは別カウント、未設置,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
544,44.0,東京都交通局,大江戸線,新御徒町,東京都台東区,島式1面2線,1・2番線,可動式ホーム柵,2012/05/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
545,45.0,東京都交通局,大江戸線,上野御徒町,東京都台東区,島式1面2線,1・2番線,可動式ホーム柵,2012/05/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
546,46.0,東京都交通局,大江戸線,本郷三丁目,東京都文京区,島式1面2線,1・2番線,可動式ホーム柵,2012/06/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
547,,東京都交通局,大江戸線,春日,東京都文京区,島式1面2線,3・4番線,可動式ホーム柵,2012/06/01 00:00,○,（参照）【都営三田線】,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
548,47.0,東京都交通局,大江戸線,飯田橋,東京都文京区,島式1面2線,1・2番線,可動式ホーム柵,2012/08/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
549,48.0,東京都交通局,大江戸線,牛込神楽坂,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,2012/09/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
550,49.0,東京都交通局,大江戸線,牛込柳町,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,2012/09/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
551,50.0,東京都交通局,大江戸線,若松河田,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,2012/10/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
552,51.0,東京都交通局,大江戸線,東新宿,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,2012/10/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
553,52.0,東京都交通局,大江戸線,新宿西口,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,2012/11/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
554,53.0,東京都交通局,大江戸線,光が丘,東京都練馬区,島式1面2線,1・2番線,可動式ホーム柵,2012/12/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
555,54.0,東京都交通局,大江戸線,練馬春日町,東京都練馬区,島式1面2線,1・2番線,可動式ホーム柵,2012/12/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
556,55.0,東京都交通局,大江戸線,豊島園,東京都練馬区,島式1面2線,1・2番線,可動式ホーム柵,2013/01/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
557,56.0,東京都交通局,大江戸線,練馬,東京都練馬区,島式1面2線,1・2番線,可動式ホーム柵,2013/01/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
558,57.0,東京都交通局,大江戸線,新江古田,東京都中野区,島式1面2線,1・2番線,可動式ホーム柵,2013/02/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
559,58.0,東京都交通局,大江戸線,落合南長崎,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,2013/02/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
560,59.0,東京都交通局,大江戸線,中井,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,2013/03/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
561,60.0,東京都交通局,大江戸線,東中野,東京都中野区,島式1面2線,1・2番線,可動式ホーム柵,2013/03/01 00:00,,,,/home/zaiying/A-Pastani/data/東京都交通局/東京都交通局大江戸線_addRailname.geojson
