,路線名,駅名,人身事故回数,index
3373,東海旅客鉄道高山線,東八尾駅,1,[4735]
3374,東海旅客鉄道高山線,笹津駅,1,[4735]
3375,伊予鉄道高浜線,西衣山駅,1,[4737]
3376,東日本旅客鉄道東北本線,村崎野駅,8,"[4739, 5240, 6053, 6610, 8285, 8869, 9551, 14687]"
3377,西日本旅客鉄道和歌山線,橋本駅,3,"[4741, 6384, 9299]"
3378,西日本旅客鉄道和歌山線,下兵庫駅,2,"[4741, 9299]"
3379,東日本旅客鉄道相模線,入谷駅,4,"[4742, 8459, 10034, 13625]"
3380,東日本旅客鉄道相模線,相武台下駅,4,"[4742, 8459, 13625, 14195]"
3381,東日本旅客鉄道武蔵野線,吉川駅,2,"[4744, 5966]"
3382,東海旅客鉄道東海道線,三河安城駅,3,"[4746, 6338, 10370]"
3383,西日本旅客鉄道湖西線,おごと温泉駅,1,[4752]
3384,西日本旅客鉄道北陸本線,丸岡駅,6,"[4755, 6389, 7739, 7984, 8243, 14331]"
3385,名古屋鉄道名鉄常滑線,名和駅,3,"[4759, 7499, 10223]"
3386,近江鉄道八日市線,市辺駅,2,"[4761, 11065]"
3387,近江鉄道八日市線,平田駅,1,[4761]
3388,関東鉄道常総線,下妻駅,5,"[4769, 5323, 8625, 9545, 14387]"
3389,関東鉄道常総線,大宝駅,6,"[4769, 5323, 9052, 9545, 11545, 14387]"
3390,東京地下鉄日比谷線,仲御徒町駅,1,[4770]
3391,高松琴平電気鉄道琴平線,空港通り駅,3,"[4772, 6060, 12086]"
3392,高松琴平電気鉄道琴平線,一宮駅,3,"[4772, 6060, 12086]"
3393,東日本旅客鉄道仙山線,東北福祉大前駅,3,"[4776, 9895, 10502]"
3394,伊勢鉄道伊勢線,伊勢上野駅,1,[4777]
3395,札幌市交通局東西線,南郷18丁目駅,1,[4780]
3396,東日本旅客鉄道内房線,九重駅,3,"[4783, 7405, 9354]"
3397,東日本旅客鉄道内房線,館山駅,3,"[4783, 9345, 9354]"
3398,東日本旅客鉄道東北本線,蕨駅,14,"[4784, 5950, 6039, 6601, 6820, 7071, 7730, 7770, 8490, 8770, 11050, 13081, 13945, 13957]"
3399,東日本旅客鉄道東北本線,南浦和駅,7,"[4784, 6427, 10173, 10456, 13169, 13806, 14271]"
3400,西日本旅客鉄道関西本線,東部市場前駅,5,"[4785, 4971, 5443, 5991, 14239]"
3401,九州旅客鉄道鹿児島本線,門司駅,3,"[4790, 4882, 6566]"
3402,東日本旅客鉄道東北本線,那須塩原駅,3,"[4795, 8238, 12925]"
3403,東日本旅客鉄道山手線,浜松町駅,7,"[4796, 5099, 7798, 9372, 9806, 10158, 14578]"
3404,九州旅客鉄道日田彦山線,一本松駅,2,"[4797, 9247]"
3405,九州旅客鉄道日田彦山線,香春駅,2,"[4797, 5568]"
3406,阪神電気鉄道阪神本線,西宮駅,2,"[4802, 14303]"
3407,"['東海旅客鉄道紀勢線', '西日本旅客鉄道紀勢線']",紀伊宮原駅,2,"[4805, 8395]"
3408,四国旅客鉄道土讃線,小村神社前駅,2,"[4807, 11715]"
3409,四国旅客鉄道土讃線,波川駅,1,[4807]
3410,京浜急行電鉄京急空港線,穴守稲荷駅,3,"[4811, 6810, 9119]"
3411,東日本旅客鉄道水郡線,瓜連駅,3,"[4812, 11723, 14475]"
3412,大阪市高速電気軌道御堂筋線,東三国駅,3,"[4822, 5121, 11267]"
3413,西日本旅客鉄道因美線,三浦駅,1,[4824]
3414,西日本旅客鉄道因美線,美作滝尾駅,1,[4824]
3415,四国旅客鉄道高徳線,三本松駅,2,"[4826, 6569]"
3416,青い森鉄道青い森鉄道線,野内駅,1,[4828]
3417,四国旅客鉄道予讃線,伊予吉田駅,4,"[4829, 6532, 10723, 13585]"
3418,西日本旅客鉄道山陽線,大道駅,7,"[4835, 5311, 5510, 7722, 9991, 10008, 14045]"
3419,西日本旅客鉄道山陽線,四辻駅,5,"[4835, 5311, 6395, 10098, 13194]"
3420,西日本旅客鉄道東海道線,米原駅,3,"[4836, 9901, 13150]"
3421,"['西日本旅客鉄道東海道線', '西日本旅客鉄道山陽線']",姫路駅,9,"[4837, 6050, 7089, 11632, 12246, 13379, 13699, 13950, 14262]"
3422,東日本旅客鉄道南武線,西府駅,4,"[4838, 6501, 8951, 10985]"
3423,東京都交通局新宿線,菊川駅,1,[4845]
3424,西日本旅客鉄道草津線,石部駅,2,"[4851, 7712]"
3425,富山地方鉄道本線,中滑川駅,1,[4853]
3426,富山地方鉄道本線,西滑川駅,1,[4853]
3427,東日本旅客鉄道東北本線,上野駅,13,"[4855, 6611, 6793, 7011, 8004, 8826, 9694, 10755, 11676, 12035, 12232, 13607, 13895]"
3428,近畿日本鉄道近鉄山田線,斎宮駅,3,"[4856, 12359, 14805]"
3429,近畿日本鉄道近鉄山田線,明星駅,3,"[4856, 12359, 14805]"
3430,東日本旅客鉄道磐越西線,堂島駅,2,"[4858, 10484]"
3431,東日本旅客鉄道磐越西線,笈川駅,1,[4858]
3432,京王電鉄京王井の頭線,永福町駅,4,"[4863, 7268, 10882, 11722]"
3433,近畿日本鉄道近鉄京都線,新田辺駅,6,"[4871, 5220, 5454, 6366, 6967, 9618]"
3434,東武鉄道東武伊勢崎線,曳舟駅,1,[4872]
3435,北海道旅客鉄道釧網本線,知床斜里駅,2,"[4873, 13301]"
3436,北海道旅客鉄道釧網本線,止別駅,2,"[4873, 13301]"
3437,近江鉄道八日市線,近江八幡駅,1,[4875]
3438,近江鉄道八日市線,武佐駅,1,[4875]
3439,東海旅客鉄道東海道線,名古屋駅,4,"[4876, 6004, 11404, 12969]"
3440,東海旅客鉄道東海道線,枇杷島駅,6,"[4878, 6667, 10124, 10157, 11404, 14628]"
3441,西日本旅客鉄道東海道線,西大路駅,3,"[4879, 11085, 12027]"
3442,東日本旅客鉄道弥彦線,西燕駅,1,[4881]
3443,西日本旅客鉄道芸備線,志和口駅,2,"[4885, 9720]"
3444,西日本旅客鉄道芸備線,井原市駅,1,[4885]
3445,富山地方鉄道本線,越中三郷駅,1,[4887]
3446,東日本旅客鉄道大糸線,ヤナバスキー場前駅,1,[4888]
3447,東日本旅客鉄道大糸線,南神城駅,1,[4888]
3448,IRいしかわ鉄道IRいしかわ鉄道線,東金沢駅,3,"[4890, 6251, 7288]"
3449,北海道旅客鉄道室蘭本線,栗沢駅,1,[4893]
3450,北海道旅客鉄道室蘭本線,志文駅,1,[4893]
3451,東日本旅客鉄道東金線,成東駅,2,"[4894, 11972]"
3452,東急電鉄東急田園都市線,たまプラーザ駅,7,"[4905, 5732, 7737, 7889, 9417, 10015, 12926]"
3453,東日本旅客鉄道成田線,小見川駅,3,"[4907, 6949, 13909]"
3454,東日本旅客鉄道成田線,笹川駅,2,"[4907, 13909]"
3455,東海旅客鉄道関西線,富田浜駅,3,"[4913, 9993, 11974]"
3456,神戸電鉄粟生線,三木上の丸駅,1,[4916]
3457,東海旅客鉄道関西線,加佐登駅,1,[4917]
3458,近畿日本鉄道近鉄南大阪線,高見の里駅,1,[4919]
3459,松浦鉄道西九州線,泉福寺駅,3,"[4924, 6333, 14792]"
3460,松浦鉄道西九州線,山の田駅,1,[4924]
3461,京浜急行電鉄京急久里浜線,堀ノ内駅,1,[4928]
3462,京浜急行電鉄京急久里浜線,新大津駅,2,"[4928, 6459]"
3463,東京都交通局都電荒川線,庚申塚停留場,3,"[4933, 10412, 11438]"
3464,東日本旅客鉄道越後線,内野駅,1,[4934]
3465,東日本旅客鉄道東北本線,石鳥谷駅,3,"[4935, 6218, 9837]"
3466,東日本旅客鉄道東北本線,日詰駅,3,"[4935, 6218, 14505]"
3467,四国旅客鉄道予讃線,八幡浜駅,5,"[4936, 8416, 9356, 9716, 13028]"
3468,北海道旅客鉄道函館本線,七飯駅,4,"[4938, 5000, 9582, 12194]"
3469,京阪電気鉄道京阪本線,深草駅,2,"[4943, 11546]"
3470,札幌市交通局南北線,大通駅,3,"[4945, 14207, 14602]"
3471,九州旅客鉄道筑豊本線,上穂波駅,1,[4953]
3472,四国旅客鉄道予讃線,伊予石城駅,6,"[4958, 8191, 10567, 11916, 13137, 14287]"
3473,四国旅客鉄道予讃線,双岩駅,4,"[4958, 9356, 11916, 13028]"
3474,東京都交通局新宿線,一之江駅,5,"[4959, 5597, 6154, 14071, 14523]"
3475,会津鉄道会津線,会津田島駅,1,[4960]
3476,東武鉄道東武東上本線,朝霞台駅,8,"[4962, 5847, 6243, 6644, 9124, 12704, 14333, 14636]"
3477,東海旅客鉄道中央線,武並駅,1,[4965]
3478,富山地方鉄道不二越線,稲荷町駅,2,"[4967, 10489]"
3479,富山地方鉄道不二越線,不二越駅,2,"[4967, 10489]"
3480,東急電鉄東急東横線,綱島駅,8,"[4968, 6087, 8934, 9288, 9488, 11055, 12647, 12659]"
3481,長崎電気軌道本線,高田駅,2,"[4970, 13324]"
3482,長崎電気軌道本線,道ノ尾駅,2,"[4970, 13324]"
3483,北海道旅客鉄道宗谷本線,新旭川駅,2,"[4972, 14340]"
3484,"['西日本旅客鉄道宇野線', '四国旅客鉄道予讃線']",木見駅,1,[4973]
3485,樽見鉄道樽見線,美江寺駅,3,"[4980, 6836, 14665]"
3486,樽見鉄道樽見線,北方真桑駅,3,"[4980, 6836, 14665]"
3487,大阪市高速電気軌道中央線,弁天町駅,3,"[4981, 8189, 12782]"
3488,九州旅客鉄道日豊本線,土々呂駅,2,"[4982, 13409]"
3489,弘南鉄道大鰐線,弘高下駅,2,"[4988, 8615]"
3490,弘南鉄道大鰐線,弘前学院大前駅,1,[4988]
3491,九州旅客鉄道日豊本線,行橋駅,3,"[4989, 7588, 8789]"
3492,九州旅客鉄道日豊本線,南行橋駅,3,"[4989, 8789, 8967]"
3493,西日本旅客鉄道七尾線,千路駅,6,"[4997, 5643, 11462, 12757, 14485, 14489]"
3494,西日本旅客鉄道七尾線,金丸駅,2,"[4997, 11462]"
3495,長良川鉄道越美南線,大中駅,1,[5006]
3496,東武鉄道東武伊勢崎線,柏駅,1,[5013]
3497,東武鉄道東武伊勢崎線,豊四季駅,1,[5013]
3498,東日本旅客鉄道山手線,池袋駅,6,"[5017, 5318, 5789, 12071, 13107, 13612]"
3499,東日本旅客鉄道山手線,大塚駅,6,"[5017, 5318, 9029, 12622, 13067, 14511]"
3500,上信電鉄上信線,根小屋駅,4,"[5022, 9289, 10315, 13074]"
3501,上信電鉄上信線,佐野のわたし駅,1,[5022]
3502,東日本旅客鉄道仙石線,小鶴新田駅,2,"[5024, 14160]"
3503,東日本旅客鉄道仙石線,福田町駅,1,[5024]
3504,西日本鉄道西鉄天神大牟田線,三沢駅,8,"[5025, 5471, 8781, 10522, 10803, 13891, 14273, 14545]"
3505,西日本鉄道西鉄天神大牟田線,三国が丘駅,2,"[5025, 14545]"
3506,東日本旅客鉄道川越線,大宮駅,3,"[5028, 8172, 12558]"
3507,肥薩おれんじ鉄道肥薩おれんじ鉄道線,日奈久温泉駅,2,"[5032, 10664]"
3508,肥薩おれんじ鉄道肥薩おれんじ鉄道線,肥後高田駅,1,[5032]
3509,名古屋市交通局鶴舞線,浅間町駅,1,[5034]
3510,長野電鉄長野線,信州中野駅,2,"[5038, 5330]"
3511,長崎電気軌道本線,肥前山口駅,4,"[5039, 6356, 6420, 11187]"
3512,富山地方鉄道不二越線,大泉駅,3,"[5040, 6205, 12549]"
3513,東日本旅客鉄道横浜線,八王子駅,4,"[5043, 10438, 11361, 13642]"
3514,東日本旅客鉄道八戸線,種市駅,2,"[5044, 7899]"
3515,東日本旅客鉄道八戸線,玉川駅,2,"[5044, 7899]"
3516,高松琴平電気鉄道琴平線,羽床駅,3,"[5045, 9117, 11427]"
3517,東京地下鉄東西線,早稲田駅,5,"[5046, 6124, 11516, 12780, 13805]"
3518,西日本旅客鉄道福知山線,丹波大山駅,4,"[5047, 9550, 11901, 12255]"
3519,西日本旅客鉄道福知山線,篠山口駅,2,"[5047, 11901]"
3520,名古屋鉄道名鉄河和線,成岩駅,3,"[5050, 13092, 13317]"
3521,東日本旅客鉄道横須賀線,田浦駅,3,"[5055, 13362, 14629]"
3522,弘南鉄道弘南線,田舎館駅,2,"[5059, 11981]"
3523,西日本旅客鉄道北陸本線,敦賀駅,6,"[5061, 5541, 6089, 9779, 9957, 13727]"
3524,西日本旅客鉄道北陸本線,南今庄駅,4,"[5061, 6089, 10599, 13727]"
3525,南海電気鉄道南海高野線,紀伊清水駅,3,"[5062, 13997, 14079]"
3526,南海電気鉄道南海高野線,学文路駅,1,[5062]
3527,京成電鉄京成本線,青砥駅,2,"[5065, 9319]"
3528,WILLER TRAINS宮津線,西舞鶴駅,1,[5066]
3529,WILLER TRAINS宮津線,四所駅,1,[5066]
3530,京王電鉄京王井の頭線,神泉駅,3,"[5068, 10384, 12088]"
3531,東急電鉄東急田園都市線,高津駅,1,[5069]
3532,西日本旅客鉄道伯備線,豪渓駅,2,"[5075, 5479]"
3533,東日本旅客鉄道陸羽東線,西大崎駅,1,[5077]
3534,東日本旅客鉄道陸羽東線,東大崎駅,1,[5077]
3535,東京地下鉄千代田線,千駄木駅,4,"[5079, 7312, 12846, 14243]"
3536,北海道旅客鉄道室蘭本線,糸井駅,3,"[5080, 5907, 12236]"
3537,岳南電車岳南線,本吉原駅,1,[5085]
3538,岳南電車岳南線,岳南原田駅,1,[5085]
3539,東日本旅客鉄道越後線,新潟大学前駅,2,"[5086, 6233]"
3540,東日本旅客鉄道五能線,横磯駅,1,[5087]
3541,東日本旅客鉄道五能線,深浦駅,1,[5087]
3542,東日本旅客鉄道東北本線,松川駅,1,[5090]
3543,北海道旅客鉄道釧網本線,磯分内駅,1,[5095]
3544,北海道旅客鉄道釧網本線,標茶駅,1,[5095]
3545,東日本旅客鉄道内房線,長浦駅,7,"[5102, 5345, 6337, 7988, 9376, 10898, 11266]"
3546,愛知環状鉄道愛知環状鉄道線,愛環梅坪駅,1,[5115]
3547,愛知環状鉄道愛知環状鉄道線,新豊田駅,1,[5115]
3548,九州旅客鉄道肥薩線,坂本駅,2,"[5120, 12580]"
3549,九州旅客鉄道肥薩線,葉木駅,1,[5120]
3550,北海道旅客鉄道函館本線,大麻駅,4,"[5122, 5713, 11642, 14570]"
3551,西日本旅客鉄道山陽線,松永駅,2,"[5125, 8555]"
3552,秋田内陸縦貫鉄道秋田内陸線,松葉駅,1,[5130]
3553,秋田内陸縦貫鉄道秋田内陸線,羽後中里駅,1,[5130]
3554,東日本旅客鉄道総武本線,旭駅,3,"[5131, 9830, 11600]"
3555,西日本旅客鉄道JR東西線,新福島駅,2,"[5132, 7822]"
3556,南海電気鉄道南海高野線,津守駅,3,"[5133, 11013, 12584]"
3557,南海電気鉄道南海高野線,西天下茶屋駅,2,"[5133, 11013]"
3558,東日本旅客鉄道越後線,分水駅,1,[5134]
3559,東日本旅客鉄道越後線,粟生津駅,1,[5134]
3560,小田急電鉄小田急小田原線,代々木上原駅,3,"[5135, 11128, 14486]"
3561,東日本旅客鉄道成田線,安食駅,3,"[5136, 5456, 10936]"
3562,東日本旅客鉄道成田線,佐原駅,3,"[5140, 6167, 6290]"
3563,京阪電気鉄道京阪中之島線,大江橋駅,1,[5142]
3564,東日本旅客鉄道常磐線,末続駅,1,[5147]
3565,東日本旅客鉄道常磐線,広野駅,1,[5147]
3566,名古屋鉄道名鉄常滑線,西ノ口駅,9,"[5148, 7463, 7724, 8469, 9466, 10468, 10667, 13731, 14149]"
